static 50% control: mean log ratio +0.61, wins 16/20, LINK +0.20
rule   | all wk-avg             | pre-2021               | 2021+                  | common-shift perm
mom1   | n=636 -0.280% t=-0.88 | n=338 -0.472% t=-0.92 | n=298 -0.061% t=-0.17 | obs -0.47 p=0.015
mom2   | n=636 -0.104% t=-0.33 | n=338 -0.374% t=-0.75 | n=298 +0.203% t=+0.58 | obs +0.56 p=0.005
mom4   | n=636 +0.023% t=+0.07 | n=338 -0.427% t=-0.88 | n=298 +0.533% t=+1.62 | obs +1.10 p=0.009
mom8   | n=636 +0.062% t=+0.22 | n=338 -0.191% t=-0.45 | n=298 +0.349% t=+1.04 | obs +0.78 p=0.032
mom13  | n=636 -0.002% t=-0.01 | n=338 -0.220% t=-0.50 | n=298 +0.246% t=+0.71 | obs +0.37 p=0.047
mom26  | n=636 -0.130% t=-0.42 | n=338 -0.348% t=-0.73 | n=298 +0.118% t=+0.33 | obs -0.01 p=0.189
sma10  | n=636 +0.006% t=+0.02 | n=338 -0.333% t=-0.71 | n=298 +0.389% t=+1.11 | obs +0.81 p=0.030
sma20  | n=636 +0.021% t=+0.07 | n=338 -0.304% t=-0.63 | n=298 +0.388% t=+1.06 | obs +0.84 p=0.035
sma40  | n=636 -0.040% t=-0.13 | n=338 -0.280% t=-0.58 | n=298 +0.232% t=+0.63 | obs +0.40 p=0.103

[exited with code 0]
